id, key_words, query_type, not_depressed_set_type, negative_sentiment_filter, personal_pronouns, absolutist_language, testing_accuracy, positive_accuracy, negative_accuracy 
79,2,hashtag,positive,True,True,True,0.7441077441077442,0.6694,0.8478
80,2,plain text,random,False,False,False,0.9971386316872428,0.0306,0.9728
81,2,plain text,positive,False,False,False,0.9492954739538856,0.7406,0.9112
82,2,plain text,random,False,False,True,0.9962758528961894,0.0358,0.963
83,2,plain text,positive,False,False,True,0.9294674752845393,0.7104,0.9106
84,2,plain text,random,False,True,False,0.9937957689178194,0.0424,0.9596
85,2,plain text,positive,False,True,False,0.9036885245901639,0.6948,0.9144
86,2,plain text,random,False,True,True,0.9921259842519685,0.1038,0.8924
87,2,plain text,positive,False,True,True,0.8307436182019978,0.6454,0.9014
88,2,plain text,random,True,False,False,0.9942896694929919,0.2114,0.861
89,2,plain text,positive,True,False,False,0.7894926232457719,0.6784,0.8818
90,2,plain text,random,True,False,True,0.9927536231884058,0.2262,0.8482
91,2,plain text,positive,True,False,True,0.7841269841269841,0.6746,0.8766
92,2,plain text,random,True,True,False,0.9924701561065198,0.2348,0.8448
93,2,plain text,positive,True,True,False,0.7865030674846626,0.6742,0.8694
94,2,plain text,random,True,True,True,0.9942066903382545,0.251,0.8318
95,2,plain text,positive,True,True,True,0.7626541897065079,0.6712,0.8646

